radius,N,oracle_calls,grover_sec
2,10000,275,0.0017122430000426903
5,10000,1007,0.003952572999878612
10,10000,2818,0.010758185999975467
20,10000,10070,0.038121072999956596
60,10000,85725,0.31607119999989663
